filename	label	latitude	longitude	width	stddeviations
auto	2016-10-08 00:00:00.0	42.25	-89.0625	0.0625	-0.46184
auto	2016-10-06 00:00:00.0	41.625	-88.125	0.0625	0.43441
auto	2016-10-28 00:00:00.0	41.1875	-87.875	0.0625	0.84272
auto	2016-10-09 00:00:00.0	41.9375	-87.875	0.0625	-0.53565
auto	2016-10-25 00:00:00.0	40.0625	-86.4375	0.0625	-0.39282
auto	2016-10-10 00:00:00.0	41.875	-88.3125	0.0625	-1.12734
auto	2016-10-17 00:00:00.0	41.9375	-87.875	0.0625	1.0263
auto	2016-11-03 00:00:00.0	42.3125	-88.0625	0.0625	-0.28024
auto	2016-10-09 00:00:00.0	40.0625	-86.4375	0.0625	0.34108
auto	2016-11-01 00:00:00.0	42.25	-89.0625	0.0625	-0.30722
auto	2016-10-30 00:00:00.0	41.625	-88.125	0.0625	-1.0673
auto	2016-10-04 00:00:00.0	41.1875	-87.875	0.0625	-0.69115
auto	2016-10-17 00:00:00.0	40.0625	-86.4375	0.0625	-0.25398
auto	2016-10-17 00:00:00.0	42.375	-87.875	0.0625	-0.02908
auto	2016-10-30 00:00:00.0	41.125	-87.875	0.0625	-0.30434
auto	2016-10-22 00:00:00.0	41.125	-87.875	0.0625	-1.71211
auto	2016-10-16 00:00:00.0	41.9375	-88.3125	0.0625	0.26312
auto	2016-10-29 00:00:00.0	41.5625	-87.25	0.0625	1.67206
auto	2016-10-10 00:00:00.0	42.75	-87.875	0.0625	-1.90664
auto	2016-10-20 00:00:00.0	42.0625	-88.3125	0.0625	-0.85
auto	2016-10-21 00:00:00.0	41.6875	-86	0.0625	-1.90352
auto	2016-10-14 00:00:00.0	41.125	-87.875	0.0625	-0.22613
auto	2016-10-05 00:00:00.0	41.5625	-87.25	0.0625	-1.01376
auto	2016-10-12 00:00:00.0	42.0625	-88.3125	0.0625	0.69681
auto	2016-10-18 00:00:00.0	42.75	-87.875	0.0625	0.74323
auto	2016-11-01 00:00:00.0	41.9375	-88.3125	0.0625	-0.25933
auto	2016-10-25 00:00:00.0	42.375	-87.875	0.0625	-0.71826
